Guardium Version,Operating System,Kernel,KTAP,Build Date,Match
12.0,RHEL-x86_64,2.6.32-71.7.1.el6,2.6.32-71.el6.x86_64-x86_64-SMP.ko,2011-08-02,Flex
12.0,RHEL-x86_64,2.6.32-71.7.1.el6.x86_64,2.6.32-71.el6.x86_64-x86_64-SMP.ko,2013-05-31,Flex
12.0,RHEL-x86_64,2.6.32-71.14.1.el6,2.6.32-71.el6.x86_64-x86_64-SMP.ko,2011-08-02,Flex
12.0,RHEL-x86_64,2.6.32-71.14.1.el6.x86_64,2.6.32-71.el6.x86_64-x86_64-SMP.ko,2013-05-31,Flex
12.0,RHEL-x86_64,2.6.32-71.18.1.el6,2.6.32-71.el6.x86_64-x86_64-SMP.ko,2011-08-02,Flex
12.0,RHEL-x86_64,2.6.32-71.18.1.el6.x86_64,2.6.32-71.el6.x86_64-x86_64-SMP.ko,2013-05-31,Flex
12.0,RHEL-x86_64,2.6.32-71.18.2.el6,2.6.32-71.el6.x86_64-x86_64-SMP.ko,2011-08-02,Flex
12.0,RHEL-x86_64,2.6.32-71.18.2.el6.x86_64,2.6.32-71.el6.x86_64-x86_64-SMP.ko,2013-05-31,Flex
12.0,RHEL-x86_64,2.6.32-71.24.1.el6,2.6.32-71.el6.x86_64-x86_64-SMP.ko,2011-08-02,Flex
12.0,RHEL-x86_64,2.6.32-71.24.1.el6.x86_64,2.6.32-71.el6.x86_64-x86_64-SMP.ko,2013-05-31,Flex
12.0,RHEL-x86_64,2.6.32-71.29.1.el6,2.6.32-71.el6.x86_64-x86_64-SMP.ko,2011-08-02,Flex
12.0,RHEL-x86_64,2.6.32-71.29.1.el6.x86_64,2.6.32-71.el6.x86_64-x86_64-SMP.ko,2013-05-31,Flex
12.0,RHEL-x86_64,2.6.32-71.el6.x86_64,2.6.32-71.el6.x86_64-x86_64-SMP.ko,2023-09-14,Exact
12.0,RHEL-x86_64,2.6.32-100.28.5.el6.x86_64,2.6.32-100.28.5.el6.x86_64-x86_64-SMP.ko,2023-09-14,Exact
12.0,RHEL-x86_64,2.6.32-100.34.1.el6uek.x86_64,2.6.32-100.34.1.el6uek.x86_64-x86_64-SMP.ko,2023-09-14,Exact
12.0,RHEL-x86_64,2.6.32-131.0.15.el6.x86_64,2.6.32-131.0.15.el6.x86_64-x86_64-SMP.ko,2023-09-14,Exact
12.0,RHEL-x86_64,2.6.32-131.2.1.el6,2.6.32-131.0.15.el6.x86_64-x86_64-SMP.ko,2012-03-06,Flex
12.0,RHEL-x86_64,2.6.32-131.2.1.el6.x86_64,2.6.32-131.0.15.el6.x86_64-x86_64-SMP.ko,2013-05-31,Flex
12.0,RHEL-x86_64,2.6.32-131.17.1.el6.x86_64,2.6.32-131.17.1.el6.x86_64-x86_64-SMP.ko,2023-09-14,Exact
